Test ID,Scenario Type,Category,Title,Dimensions Covered,Input Prompt,Expected Signals,Expected Behavior,Actual Signals Detected,Unexpected Signals,Known False Positives,Actual Key Recommendations,Status,Notes / Findings
POS-01,Positive,Enterprise Architecture & Governance,Fintech Mono-Cloud Enterprise (AWS + High Security + Governance + Observability),"Cloud: AWS (Mono) | Scale: Ent (600 devs) | Tech: Java/Spring, Postgres | Domain: Fintech/Banking | Gov: TOGAF + COBIT | Sec: PCI-DSS, SOC2, CyberArk PAM | LLM: None | MCP: None | RAG: None | Obs: Datadog | Client: Web app + Mobile","We are a large enterprise banking platform with 600 engineers building on AWS. Our web application backend is written in Java with PostgreSQL for transactional ledger records. We must comply with PCI-DSS and SOC2, require TOGAF architecture governance, COBIT for IT audit controls, CyberArk for privileged access management, Datadog for APM observability, and support both web application and mobile banking apps.","awsShop, enterprise, largeTeam, javaMentioned, postgresMentioned, pciMentioned, soc2Mentioned, togafMentioned, cobitMentioned, privilegedAccess, datadogMentioned, web, mobile, compliance, cyberarkMentioned, finance, structured","Enterprise scale AWS stack, Java backend, PostgreSQL ledger, CyberArk PAM, Datadog observability, Microservices architecture, TOGAF + COBIT governance recommendations.","finance, enterprise, mobile, web, compliance, structured, togafMentioned, cobitMentioned, awsShop, cyberarkMentioned, privilegedAccess, javaMentioned, postgresMentioned, soc2Mentioned, pciMentioned, datadogMentioned, largeTeam",,,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store)"", ""iam"": ""Ping Identity (incl. ForgeRock, post-merger) — or Okta if you want a less complex rollout"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Splunk (+ Datadog or Dynatrace for APM)"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""Angular + Flutter (single codebase for iOS + Android)"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Kafka (durable, high-throughput event streaming)"", ""cache"": ""Redis"", ""mesh"": ""Istio with SPIFFE/SPIRE-issued workload identity (not just mTLS certs Istio manages internally)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-02,Positive,Air-Gapped Sovereign AI,Healthcare Air-Gapped On-Prem (No Cloud + HIPAA + Self-Hosted LLM + RAG + FastMCP),"Cloud: On-Prem (Air-Gapped, No Cloud) | Scale: Small (7 devs) | Tech: Python | Domain: Healthcare / EHR | Gov: Light | Sec: HIPAA, Zero Trust mTLS | LLM: Self-hosted local (vLLM) | MCP: With FastMCP | RAG: Qdrant Clinical KB | Obs: Prometheus/Grafana | Client: Web app","Air-gapped on-premises deployment only with no public cloud. We are building an enterprise hospital patient records web application with a team of 50 engineers. Written in Python. Strict HIPAA compliance and zero-trust mTLS required. We host our own GPU hardware and use vLLM for local LLM inference, autonomous agentic workflows using tool use, FastMCP to expose hospital tools as MCP servers, Qdrant for a medical knowledge base document search RAG, Prometheus and Grafana for monitoring.","onPrem, enterprise, largeTeam, pythonMentioned, hipaaMentioned, mtlsMentioned, selfHostInfra, vllmMentioned, agentic, fastmcpMentioned, qdrantMentioned, knowledgeBase, ragNeed, prometheusMentioned, web, compliance, grafanaMentioned, healthcare","Air-gapped on-prem floor (no public cloud), Keycloak self-hosted IdP, vLLM continuous batching inference, FastMCP tool exposition, Qdrant vector search, Prometheus + Grafana observability.","onPrem, healthcare, enterprise, knowledgeBase, agentic, fastmcpMentioned, web, compliance, mtlsMentioned, selfHostInfra, vllmMentioned, pythonMentioned, hipaaMentioned, qdrantMentioned, prometheusMentioned, grafanaMentioned, largeTeam, ragNeed, excluded:['cloud']",,,"{""cloud"": ""On-premises / private infrastructure — no public cloud"", ""database"": ""PostgreSQL (primary transactional store) · MongoDB (flexible schema for content, chat history, documents)"", ""iam"": ""Self-hosted open-source IdP (Keycloak or FreeIPA)"", ""containers"": ""Docker + self-managed Kubernetes (kubeadm/Rancher/RKE2 on bare metal or VMware) — not EKS/GKE/AKS"", ""observability"": ""OpenTelemetry (instrumentation standard) + self-hosted Grafana + Prometheus + Loki (or ELK/OpenSearch)"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""Angular"", ""hybrid_connectivity"": ""Not applicable — air-gapped means there is no cloud endpoint to build a dedicated link to"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Redis"", ""mesh"": ""Istio with SPIFFE/SPIRE-issued workload identity (not just mTLS certs Istio manages internally)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-03,Positive,High-Throughput Multi-Cloud,E-Commerce Multi-Cloud High-Scale (AWS + GCP + Hosted LLM + FastMCP + RAG + Realtime),"Cloud: Multi-Cloud (AWS + GCP) | Scale: Mid (45 devs) | Tech: Go, React, Redis | Domain: E-Commerce Marketplace | Gov: Scaled Agile (SAFe) | Sec: SOC2 | LLM: Hosted Claude | MCP: FastMCP + Agentic Tool Use | RAG: Pinecone Product Search | Obs: Datadog | Client: Web + Mobile","High volume e-commerce marketplace web application running across both AWS and Google Cloud with 45 engineers. Peak load during sales events. Backend services written in Go with React web application and mobile apps. We use Pinecone for product recommendation document search RAG, agentic tool use with FastMCP for agent tools, hosted Anthropic Claude LLM, Redis for session cache, Datadog for observability, SOC2 compliance, and scaled agile framework delivery coordination.","multiCloudMentioned, awsShop, gcpShop, highScale, marketplace, goMentioned, reactMentioned, mobile, pineconeMentioned, agentic, fastmcpMentioned, llmProviderMentioned, redisMentioned, datadogMentioned, soc2Mentioned, safeMentioned, web, compliance, ecommerce, knowledgeBase, largeTeam, ragNeed","Multi-cloud recognition, AWS/GCP bridging guidance, Redis caching, Pinecone vector search, FastMCP tool integration, Datadog APM, Microservices architecture.","multiCloudMentioned, ecommerce, highScale, realtime, knowledgeBase, agentic, fastmcpMentioned, mobile, web, compliance, safeMentioned, marketplace, awsShop, gcpShop, goMentioned, reactMentioned, soc2Mentioned, llmProviderMentioned, redisMentioned, pineconeMentioned, datadogMentioned, largeTeam, ragNeed",,realtime,"{""cloud"": ""AWS"", ""database"": ""PostgreSQL (primary transactional store) · MongoDB (flexible schema for content, chat history, documents)"", ""iam"": ""Ping Identity (incl. ForgeRock, post-merger) — or Okta if you want a less complex rollout"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""React + Flutter (single codebase for iOS + Android)"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Kafka (durable, high-throughput event streaming) · Google Pub/Sub (if GCP-native)"", ""cache"": ""Redis"", ""mesh"": ""Istio with SPIFFE/SPIRE-issued workload identity (not just mTLS certs Istio manages internally)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,"Verified: every expected signal fired and nothing else did. Known false positive(s): realtime — Fires on the substring 'live' inside 'delivery coordination'. The realtime term list holds a bare 'live' and has() is a plain substring match, so 'delivery', 'deliver' and 'olive' all set it too. The same list is in both engines, so the differential test cannot see it. Found by the unexpected-signal check on its first run."
POS-04,Positive,Low-Latency Real-Time Gaming,Gaming Real-Time Multiplayer (GCP + Go + Redis Live Leaderboards + Mobile Only),"Cloud: GCP (Mono) | Scale: Small (8 devs) | Tech: Go, Redis | Domain: Gaming / Live Multiplayer | Gov: None | Sec: Standard | LLM: None | MCP: None | RAG: None | Obs: Prometheus | Client: Mobile Only (Flutter)","Real-time multiplayer mobile game with live leaderboards, live scoring, and concurrent players. Built by 8 engineers on Google Cloud (GCP). Backend written in Go, using Redis sorted sets for live state, Prometheus for metrics, and Flutter mobile client.","gcpShop, liveMultiplayer, realtime, smallTeam, goMentioned, redisMentioned, prometheusMentioned, mobile","GCP cloud, Redis sorted sets for live gaming state, Prometheus metrics, Flutter cross-platform mobile frontend, lightweight monolith or microservices.","realtime, mobile, liveMultiplayer, gcpShop, goMentioned, redisMentioned, prometheusMentioned, smallTeam",,,"{""cloud"": ""Google Cloud (GCP)"", ""database"": ""Redis (in-memory, sorted sets) as the primary store for live session/leaderboard state · PostgreSQL or a NoSQL document store for post-session history only"", ""iam"": ""OneLogin (One Identity) — or cloud-native (AWS Cognito / Firebase Auth) for the simplest cases"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Grafana + Prometheus (OSS)"", ""architecture"": ""Modular monolith (hexagonal internal structure), split into microservices later"", ""frontend"": ""Flutter (single codebase for iOS + Android)"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Redis Pub/Sub (or a managed realtime service — Ably/Pusher/PubNub) for room broadcast/fan-out — not Kafka"", ""cache"": ""Redis"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-05,Positive,Hybrid Infrastructure & IoT,Logistics IoT Fleet Telemetry (Hybrid Dedicated Link + Kafka + ClickHouse),"Cloud: Hybrid (Direct Connect transit to AWS) | Scale: Mid (30 devs) | Tech: Python, Kafka, ClickHouse | Domain: Logistics / Fleet GPS | Gov: ITIL | Sec: Standard | LLM: None | MCP: None | RAG: None | Obs: Splunk | Client: Web app + Mobile","Fleet tracking and route optimization web application with live map and device telemetry for delivery trucks. We use Direct Connect as a dedicated link to bridge our on-prem depot servers to AWS. Team of 30 engineers using Python, Apache Kafka for event bus streaming, ClickHouse for telemetry analytics, Splunk for log analysis, ITIL for service management, dispatch web application and mobile driver app.","hybridConnectivity, geospatial, iot, realtime, awsShop, pythonMentioned, kafkaMentioned, clickhouseMentioned, splunkMentioned, itilMentioned, web, mobile, dataHeavy, largeTeam","Hybrid dedicated link transit (AWS Direct Connect), Kafka messaging, ClickHouse real-time analytics, Splunk log analytics, ITIL operational process.","hybridConnectivity, realtime, mobile, web, dataHeavy, clickhouseMentioned, iot, itilMentioned, geospatial, awsShop, pythonMentioned, kafkaMentioned, splunkMentioned, largeTeam",,,"{""cloud"": ""AWS"", ""database"": ""Cloud data warehouse (BigQuery / Snowflake / Redshift) as the analytics store · Cassandra (write-heavy, high-scale, multi-region time-series/event data)"", ""iam"": ""Okta (or cloud-native IAM)"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Splunk (+ a dedicated APM tool for tracing/metrics)"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""React + Flutter (single codebase for iOS + Android)"", ""hybrid_connectivity"": ""AWS Direct Connect + AWS Transit Gateway, with a Site-to-Site VPN as an automatic failover path"", ""messaging"": ""Kafka (durable, high-throughput event streaming)"", ""cache"": ""Redis"", ""mesh"": ""Istio"", ""realtime_analytics"": ""ClickHouse Cloud""}",PASS,Verified: every expected signal fired and nothing else did.
POS-06,Positive,Enterprise GenAI Knowledge Base,Enterprise Knowledge Assistant (Azure + LangGraph + RAG + SailPoint IGA),"Cloud: Azure (Mono) | Scale: Ent (500 devs) | Tech: Python, React | Domain: Enterprise Internal Tools | Gov: TOGAF, SailPoint IGA | Sec: Okta SSO, SOC2 | LLM: Hosted Claude | MCP: With FastMCP | RAG: Confluence RAG | Obs: Langfuse | Client: Web app","Enterprise internal knowledge assistant web application on Microsoft Azure for a platform team of 500 engineers. Document search across Confluence and policy documents using RAG. Multi-agent workflows orchestrated with LangGraph, tool use with FastMCP, Langfuse for LLM observability, Okta for SSO, SailPoint for identity governance and access reviews, TOGAF framework, and React web application interface.","azureShop, enterprise, largeTeam, knowledgeBase, ragNeed, agentic, langgraphMentioned, fastmcpMentioned, langfuseMentioned, oktaMentioned, sailpointMentioned, identityGovernance, togafMentioned, reactMentioned, web, chatbot, unstructured","Azure hosting, LangGraph agent orchestration + FastMCP tool servers, SailPoint IGA access governance, Langfuse LLM tracing, React web frontend.","enterprise, chatbot, knowledgeBase, agentic, langgraphMentioned, fastmcpMentioned, langfuseMentioned, web, unstructured, togafMentioned, azureShop, oktaMentioned, sailpointMentioned, identityGovernance, reactMentioned, largeTeam, ragNeed",,,"{""cloud"": ""Microsoft Azure"", ""database"": ""MongoDB (flexible schema for content, chat history, documents)"", ""iam"": ""Okta"", ""containers"": ""Docker + Kubernetes (EKS/GKE/AKS matching chosen cloud)"", ""observability"": ""OpenTelemetry (instrumentation standard) + Datadog"", ""architecture"": ""Microservices with Hexagonal (Ports & Adapters) architecture"", ""frontend"": ""Angular"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""RabbitMQ (task queue / flexible routing) for now — move to Kafka if you need durable replay or multiple independent consumer groups"", ""cache"": ""Redis"", ""mesh"": ""Istio"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-07,Positive,Domain Floor — Local CLI,Developer Tooling CLI (Local-Only Floor / No Cloud / No DB / No Web),Cloud: None (Local) | Scale: Solo (1 dev) | Tech: Python | Domain: DevTools | Gov: None | Sec: None | LLM: None | MCP: None | RAG: None | Obs: None | Client: CLI Only,"We are building a command line tool in Python that analyzes local log files for developer debugging. Solo developer, runs locally on the user terminal.","cliTool, pythonMentioned, smallTeam","Domain floor suppresses Cloud, Containers, Server-side Database, IAM, and Observability; Frontend states command-line interface only.","cliTool, pythonMentioned, smallTeam",,,"{""cloud"": ""Not applicable — no server-side hosting for a local CLI tool"", ""database"": ""Not applicable — no server-side database — read/write local files directly, or add embedded SQLite only if you need structured queries over the data"", ""iam"": ""Not applicable — no server-side user accounts for a local CLI tool"", ""containers"": ""Not applicable — nothing runs server-side to containerize (package the tool itself via pip/pipx or a single binary instead)"", ""observability"": ""Not applicable — no server infrastructure to observe — plain logging to stdout or a log file is enough"", ""architecture"": ""Not applicable — a single CLI tool has no service architecture style to choose"", ""frontend"": ""Not applicable — command-line interface only — no web/mobile frontend (argparse, Click, or Typer for Python; Cobra for Go; etc.)"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Not applicable — no server-side services to connect via messaging"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-08,Positive,Domain Floor — Browser Extension,Browser Extension for Page Summaries (Manifest V3 / Client-Side),Cloud: None (Browser runtime) | Scale: Small (2 devs) | Tech: Vanilla JS / HTML | Domain: Productivity | Gov: None | Sec: Client Privacy | LLM: Hosted API | MCP: None | RAG: None | Obs: None | Client: Extension Only,We are building a Chrome extension with Manifest V3 that helps users summarize web pages using an LLM. Team of 2 developers.,"browserExtension, smallTeam","Domain floor suppresses Cloud, Containers, Server-side Database, and IAM; Frontend states Manifest V3 browser extension.","browserExtension, smallTeam",,,"{""cloud"": ""Not applicable — no server-side hosting needed for a browser extension"", ""database"": ""Not applicable — no server-side datastore — use the browser's own storage API (chrome.storage / IndexedDB) for local state"", ""iam"": ""Not applicable — no server-side user accounts to authenticate"", ""containers"": ""Not applicable — nothing runs server-side to containerize"", ""observability"": ""Not applicable — no server infrastructure to observe — use a client-side error-reporting SDK instead"", ""architecture"": ""Not applicable — a single browser extension has no service architecture style to choose"", ""frontend"": ""Manifest V3 browser extension (background service worker + popup UI in vanilla JS or a lightweight framework)"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Not applicable — no server-side services to connect via messaging"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-09,Positive,Domain Floor — Desktop Application,Cross-Platform Desktop App (Local SQLite / Tauri / No Backend),"Cloud: None (Local OS) | Scale: Small (3 devs) | Tech: Rust, React | Domain: Desktop Productivity | Gov: None | Sec: Local file | LLM: None | MCP: None | RAG: None | Obs: None | Client: Desktop Only","Cross-platform desktop application for Windows and Mac, no backend server, data stays entirely on the user machine, small team of 3 engineers.","desktopApp, smallTeam","Domain floor suppresses Cloud, Containers, IAM, and Observability; Database states embedded SQLite; Frontend states cross-platform desktop UI (Tauri/Electron).","desktopApp, smallTeam",,,"{""cloud"": ""Not applicable — no server-side hosting — the app runs on the user's own machine"", ""database"": ""Embedded SQLite (bundled with the app, no server-side database)"", ""iam"": ""Not applicable — no server-side user accounts — use the OS's own user session if any access control is needed"", ""containers"": ""Not applicable — nothing runs server-side to containerize"", ""observability"": ""Not applicable — no server infrastructure to observe — use a desktop crash-reporting SDK (e.g. Sentry) instead"", ""architecture"": ""Not applicable — a single desktop application has no service architecture style to choose"", ""frontend"": ""Cross-platform desktop UI (Tauri or Electron, matched to your team's language) with an embedded SQLite database for local persistence"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Not applicable — no server-side services to connect via messaging"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
POS-10,Positive,Domain Floor — Static Site,Static Marketing Website (CDN / Jamstack / No Backend),Cloud: CDN only | Scale: Solo (1 dev) | Tech: HTML/CSS | Domain: Marketing Landing Page | Gov: None | Sec: SSL | LLM: None | MCP: None | RAG: None | Obs: None | Client: Web Static,"I want to make a simple static marketing website with no backend, just pure HTML and CSS for our product landing page.","staticSite, web","Cloud states Static hosting / CDN (Cloudflare Pages, Vercel, Netlify); Database and Containers state Not applicable.","web, staticSite",,,"{""cloud"": ""Static hosting / CDN (Cloudflare Pages, Vercel, Netlify, or S3 + CloudFront) — not a full IaaS cloud tier"", ""database"": ""Not applicable — no server-side data to persist for a static site"", ""iam"": ""Not applicable — no user accounts for a static site"", ""containers"": ""Not applicable — static assets are served directly from a CDN — no server process to containerize"", ""observability"": ""Not applicable — no server infrastructure to observe — a lightweight client-side analytics snippet is enough if desired"", ""architecture"": ""Not applicable — a static site has no application architecture style — just markup and assets"", ""frontend"": ""React"", ""hybrid_connectivity"": ""Not required for this scenario"", ""messaging"": ""Not applicable — no server-side services to connect via messaging"", ""cache"": ""Not required yet"", ""mesh"": ""Not needed yet (revisit past ~10-15 services)"", ""realtime_analytics"": ""Not applicable — no real-time/streaming analytics requirement in this stack""}",PASS,Verified: every expected signal fired and nothing else did.
